Date,OrganizationTransaction,SumTransaction
11/1/2019,Tinkoff,23561
11/2/2019,Burger King,-136.65
11/11/2019,Pizza Hat,-911.62
11/21/2019,Panasonic,-3382.77
11/22/2019,ALL WE NEED,-4667.32
11/22/2019,Tinkoff,53191.45
11/23/2019,Panasonic,-506.83
11/24/2019,MODIS,-672.46
11/26/2019,ОРМАТЕК,-4981.01
11/27/2019,JULL,-1254.96
11/27/2019,Sberbank,42268.91
12/5/2019,ОЛАНТ,-2906.38
12/16/2019,Петрович,-3883.59
12/18/2019,DodoPizza,-132.98
12/31/2019,Pizza Hat,-4617.05
1/3/2020,MODIS,-1236.03
1/18/2020,Будь здоров!,-3482.93
1/21/2020,Pizza Hat,-1913.84
1/24/2020,Будь здоров!,-2140.34
1/29/2020,Sberbank,4575.69
